Month,DayOfMonth,DayOfWeek,PlaneAge,Distance,AirTime,DepTime,ArrTime,ArrDelay
1,21,1,10,951,137,854,1124,-31
1,21,1,10,370,62,1727,1745,20
1,21,1,10,1788,263,1348,1646,11
1,22,2,10,616,74,1350,1619,-21
1,22,2,10,291,50,616,718,-2
1,22,2,10,1442,202,1948,2124,-11
1,22,2,10,1072,173,1702,1908,-7
1,22,2,10,395,59,1213,1324,-6
1,22,2,10,1258,151,748,1139,-6
1,22,2,10,389,59,2151,2302,-8
1,23,3,10,307,62,1628,1645,-5
1,23,3,10,880,129,2116,2239,-16
1,23,3,10,307,52,1340,1558,3
1,23,3,10,989,127,1724,2052,-3
1,23,3,10,325,46,615,821,-4
1,23,3,10,1444,163,847,1300,-10
1,24,4,10,1111,144,1907,2041,-9
1,24,4,10,377,53,936,1046,-9
1,24,4,10,842,129,1326,1548,-7
1,24,4,10,377,80,1116,1249,-6
1,24,4,10,543,86,2109,2251,1
1,24,4,10,737,92,617,901,-14
1,24,4,10,1497,233,1634,1843,18
1,25,5,10,1444,215,1922,2219,19
1,25,5,10,402,55,1523,1732,-3
1,25,5,10,361,63,600,724,9
1,25,5,10,325,48,746,1002,12
1,25,5,10,1444,158,1036,1446,1
1,25,5,10,325,49,2242,2248,18
1,25,5,10,402,85,1805,1850,15
1,26,6,10,349,58,1636,1748,-17
1,26,6,10,371,64,1047,1209,-1
1,26,6,10,361,58,900,1010,-10
1,26,6,10,328,39,1516,1611,-4
1,26,6,10,338,48,1241,1444,-1
1,27,7,10,895,109,626,930,-20
1,27,7,10,1073,149,2114,2359,84
1,27,7,10,1142,161,1419,1716,6
1,27,7,10,989,119,1017,1332,-18
1,27,7,10,1142,155,1742,2032,-23
1,28,1,10,1130,139,752,1037,-28
1,28,1,10,1140,128,1954,16,-29
1,28,1,10,2279,343,1513,1909,9
1,28,1,10,256,46,1938,1937,2
1,28,1,10,1204,180,1130,1443,13
1,29,2,10,852,106,1905,2159,-26
1,29,2,10,223,43,1128,1221,-14
1,29,2,10,1588,175,1304,1815,-25
1,29,2,10,397,71,758,939,14
1,29,2,10,1140,167,614,713,-17
1,29,2,10,358,54,958,1102,2
1,30,3,10,1050,167,757,1104,4
1,30,3,10,848,138,2105,2235,-20
1,30,3,10,133,24,1139,1223,8
1,30,3,10,861,122,1808,2035,-15
1,30,3,10,992,128,1307,1528,3
1,31,4,10,602,88,2157,2336,61
1,31,4,10,848,106,709,1013,-7
1,31,4,10,533,84,2050,2129,69
1,31,4,10,534,71,1041,1203,-17
1,31,4,10,587,95,1243,1433,-7
1,31,4,10,254,52,1739,1750,5
1,31,4,10,237,50,1851,2023,73
1,31,4,10,727,100,1506,1701,-14
1,1,2,10,577,95,1838,1932,72
1,1,2,10,577,77,1501,1739,49
1,1,2,10,1036,135,2030,2306,86
1,1,2,10,1444,178,916,1331,1
1,2,3,10,1335,166,750,1147,7
1,2,3,10,1052,126,1836,2102,-13
1,2,3,10,951,145,1520,1800,-15
1,2,3,10,238,43,1211,1309,-6
1,2,3,10,238,55,1344,1451,-9
1,2,3,10,192,32,630,711,-4
2,2,6,10,446,83,1833,2007,-3
2,3,7,10,371,59,1723,1834,39
2,3,7,10,371,64,943,1105,0
2,3,7,10,1044,186,2205,306,156
2,3,7,10,404,64,1337,1455,5
2,3,7,10,371,71,1528,1651,6
2,3,7,10,338,52,1937,2145,70
2,3,7,10,404,77,1130,1314,14
2,4,1,10,588,76,1935,2207,7
2,4,1,10,1797,206,1331,1915,15
2,4,1,10,1044,169,639,846,16
2,4,1,10,338,54,925,936,16
2,4,1,10,308,44,1149,1251,11
2,4,1,10,342,63,1003,1120,20
2,5,2,10,281,60,836,950,15
2,5,2,10,281,54,659,808,3
2,5,2,10,925,128,1035,1259,4
2,5,2,10,318,52,1325,1433,-7
2,5,2,10,742,97,1904,2108,123
2,5,2,10,920,138,2123,17,112
2,6,3,10,283,43,2128,2225,75
2,6,3,10,842,105,1716,1928,-2
2,7,4,10,2298,305,712,932,-23
2,7,4,10,588,67,2230,49,39
2,7,4,10,197,34,1043,1133,-7
2,7,4,10,1797,199,1532,2104,-11
2,7,4,10,389,63,1203,1317,-3
2,7,4,10,373,58,1345,1507,2
2,8,5,10,283,56,1641,1747,-3
2,8,5,10,283,44,1457,1559,-1
2,8,5,10,925,136,633,902,-13
2,8,5,10,1999,287,1821,2134,-11
2,8,5,10,197,35,941,1035,-5
2,8,5,10,159,34,1329,1421,1
2,8,5,10,370,55,2210,2217,-13
2,8,5,10,717,86,1101,1239,-26
2,9,6,10,289,43,1527,1720,-5
2,9,6,10,369,56,1118,1324,-11
2,9,6,10,319,51,1902,2003,-12
2,9,6,10,308,48,819,922,-3
2,9,6,10,293,47,1742,1838,-7
2,9,6,10,328,44,1359,1458,-7
2,9,6,10,296,51,953,1054,4
2,10,7,10,229,51,1906,1917,2
2,10,7,10,453,63,1132,1252,12
2,10,7,10,441,63,945,1058,-2
2,10,7,10,405,65,1437,1553,3
2,10,7,10,972,134,2005,2229,-1
2,10,7,10,229,42,1632,1829,-6
2,10,7,10,223,37,1320,1408,8
2,11,1,10,487,73,1031,1055,80
2,11,1,10,294,82,819,951,101
2,11,1,10,187,34,2010,2057,27
2,11,1,10,239,56,1736,1843,43
2,11,1,10,187,36,1907,1955,40
2,11,1,10,677,94,2200,2244,39
2,11,1,10,1295,148,1115,1556,56
2,11,1,10,296,53,1613,1719,44
2,11,1,10,332,50,1007,1010,95
2,12,2,10,1121,137,735,1106,-14
2,12,2,10,223,37,625,713,-2
2,12,2,10,534,69,1656,1822,57
2,12,2,10,989,146,1222,1624,69
2,12,2,10,255,44,1852,1951,51
2,13,3,10,1959,283,1616,1914,54
2,13,3,10,281,55,1144,1302,47
2,13,3,10,281,46,1013,1110,25
2,13,3,10,220,46,717,820,0
2,13,3,10,255,57,1335,1447,62
2,13,3,10,220,53,844,947,-3
2,13,3,10,646,86,1938,2226,51
2,13,3,10,328,44,2243,2,62
2,13,3,10,443,71,1522,1545,55
2,14,4,10,349,50,1707,1808,-2
2,14,4,10,328,60,714,829,4
2,14,4,10,325,56,935,1043,-2
2,14,4,10,369,67,1233,1453,-7
2,14,4,10,895,110,1834,2136,-9
2,14,4,10,325,52,1108,1209,-6
2,14,4,10,328,44,1544,1640,15
2,14,4,10,369,71,854,912,-3
2,15,5,10,484,64,800,1020,5
2,15,5,10,395,63,1141,1258,3
2,15,5,10,484,71,1045,1116,6
2,15,5,10,337,56,1630,1738,-7
2,15,5,10,395,58,622,731,-4
2,15,5,10,1750,230,1336,1540,-20
2,15,5,10,1844,233,1815,19,9
2,16,6,10,423,67,900,1020,-5
2,16,6,10,668,82,1243,1524,-26
2,16,6,10,423,61,1050,1205,-10
2,16,6,10,2075,289,1621,1922,-33
2,16,6,10,304,50,2017,2022,-3
2,17,7,10,443,63,1934,2148,78
2,17,7,10,1140,139,1215,1706,1
2,17,7,10,368,61,841,1053,-12
2,17,7,10,491,65,1737,1856,-9
2,17,7,10,336,49,2213,2317,72
2,17,7,10,258,50,705,809,-11
2,17,7,10,368,55,1126,1146,-4
2,18,1,10,323,46,1821,2018,-17
2,18,1,10,1013,149,1031,1213,-17
2,18,1,10,883,106,1248,1548,-22
2,18,1,10,570,68,1629,1749,-16
2,18,1,10,1444,198,2129,2357,27
2,18,1,10,336,68,739,903,-2
2,18,1,10,443,78,930,1000,-5
2,18,1,10,271,52,2050,2058,-2
2,19,2,10,197,36,1522,1625,10
2,19,2,10,866,123,1818,2036,-14
2,19,2,10,271,47,1055,1253,-7
2,19,2,10,197,41,1650,1745,5
2,19,2,10,1444,168,611,1015,-10
2,19,2,10,1624,235,1325,1433,-12
2,19,2,10,671,97,2107,2304,-11
2,20,3,10,335,48,1240,1241,-4
2,20,3,10,287,43,1020,1213,-7
2,20,3,10,279,45,2027,2123,58
2,20,3,10,806,111,1800,2009,79
2,20,3,10,671,92,639,828,-17
2,20,3,10,479,64,2140,2254,44
2,20,3,10,256,43,1735,1735,100
2,20,3,10,601,80,1309,1545,0
2,20,3,10,224,42,900,1003,3
2,21,4,10,1009,134,1547,1914,-6
2,21,4,10,1455,158,1953,2343,-7
2,21,4,10,569,78,1336,1503,-17
2,21,4,10,404,66,615,737,-3
2,21,4,10,404,65,958,1117,-8
2,21,4,10,342,69,1154,1314,4
2,21,4,10,404,75,802,933,-2
2,22,5,10,682,90,848,1130,100
2,22,5,10,2295,341,1158,1504,114
2,22,5,10,373,69,1939,2103,158
2,22,5,10,337,57,1753,1906,141
2,22,5,10,347,44,17,118,138
2,22,5,10,446,79,1539,1723,138
2,22,5,10,647,81,2125,2357,142
2,23,6,10,448,63,1759,2015,-10
2,23,6,10,546,71,1213,1334,-11
2,23,6,10,457,72,1659,1722,-13
2,23,6,10,562,67,911,1132,-13
2,23,6,10,440,64,1409,1628,-12
2,24,7,10,1864,267,851,1129,-21
2,24,7,10,314,52,657,809,-6
2,24,7,10,1751,206,1531,2109,94
2,24,7,10,630,89,1358,1454,94
2,25,1,10,288,55,1059,1205,0
2,25,1,10,288,53,918,1030,5
2,25,1,10,1999,288,1245,1548,-7
2,25,1,10,611,83,608,850,-5
2,25,1,10,304,58,1628,1633,-2
2,25,1,10,304,51,2040,2247,-3
2,25,1,10,447,66,1704,1834,-1
2,25,1,10,447,62,1859,2009,-16
2,26,2,10,369,69,1751,2014,-1
2,26,2,10,1044,142,1146,1321,-19
2,26,2,10,328,50,2040,2143,-2
2,26,2,10,1044,129,745,1112,-3
2,26,2,10,338,55,1407,1418,-7
2,26,2,10,296,45,1630,1728,-2
2,26,2,10,342,56,1454,1559,-6
2,27,3,10,223,35,625,713,-7
2,27,3,10,717,103,1730,1827,-28
2,27,3,10,496,59,745,953,-12
2,27,3,10,1073,125,1433,1653,-17
2,27,3,10,1751,250,1925,2155,0
2,27,3,10,1040,117,1025,1347,-13
2,28,4,10,178,36,1852,1958,3
2,28,4,10,178,40,1728,1817,-8
2,28,4,10,1142,149,2023,2304,-1
2,28,4,10,1009,126,644,1007,-13
2,28,4,10,1848,212,1049,1636,-14
2,29,5,10,1797,241,1100,1320,-15
2,29,5,10,588,97,933,1024,-6
2,29,5,10,1984,227,1735,38,3
2,29,5,10,337,53,1358,1505,-10
2,29,5,10,377,72,726,858,-2
2,29,5,10,407,68,1542,1709,4
2,1,5,10,345,59,1650,1812,57
2,1,5,10,197,43,1509,1619,64
2,1,5,10,1489,165,2138,235,175
2,1,5,10,325,51,1430,1435,50
2,1,5,10,935,108,751,1051,-19
2,1,5,10,601,80,1840,2116,61
2,1,5,10,935,142,1207,1342,27
2,2,6,10,223,48,1534,1630,-5
2,2,6,10,602,93,1235,1422,-3
2,2,6,10,1489,223,741,943,-12
2,2,6,10,258,45,1658,1758,-17
2,2,6,10,369,67,1452,1515,0
2,2,6,10,602,80,1022,1201,-4
3,3,1,10,345,58,736,852,2
3,3,1,10,251,48,2032,2135,45
3,3,1,10,325,50,1205,1410,-5
3,3,1,10,256,47,705,708,3
3,3,1,10,1444,188,1449,1913,3
3,3,1,10,188,39,913,1006,-4
3,3,1,10,333,51,1027,1131,-9
3,3,1,10,351,60,2151,2302,37
3,4,2,10,419,65,830,948,3
3,4,2,10,405,66,1136,1252,-3
3,4,2,10,1855,256,1327,1603,8
3,4,2,10,957,120,2018,2330,-5
3,4,2,10,313,49,1006,1105,-5
3,4,2,10,446,69,1829,1953,8
3,4,2,10,447,70,1638,1804,14
3,4,2,10,453,70,638,804,-6
3,5,3,10,248,46,1143,1241,16
3,5,3,10,495,71,725,1017,27
3,5,3,10,1750,207,1443,2021,-4
3,5,3,10,842,102,2051,2359,4
3,5,3,10,181,38,1034,1123,23
3,5,3,10,1210,179,1300,1416,6
3,6,4,10,1448,199,1911,2144,-6
3,6,4,10,787,126,1443,1714,9
3,6,4,10,616,94,1754,1845,10
3,6,4,10,210,47,1311,1408,-7
3,6,4,10,1137,181,642,1002,2
3,6,4,10,873,109,1040,1250,5
3,7,5,10,1073,126,1930,2159,34
3,7,5,10,1506,192,1032,1602,17
3,7,5,10,507,81,614,748,-7
3,7,5,10,1073,177,2227,138,138
3,7,5,10,718,121,1633,1857,42
3,7,5,10,507,71,819,943,-17
3,8,6,10,457,69,1820,2045,15
3,8,6,10,328,43,915,1015,0
3,8,6,10,616,94,1703,1754,19
3,8,6,10,787,96,615,802,-23
3,8,6,10,133,32,1434,1521,26
3,8,6,10,1073,189,1040,1407,32
3,8,6,10,133,29,1554,1639,29
3,9,7,10,2106,283,1909,2108,-22
3,9,7,10,957,136,1050,1322,2
3,9,7,10,1073,122,1411,1631,-24
3,9,7,10,328,64,1722,1837,-3
3,10,1,10,287,45,1007,1001,-9
3,10,1,10,279,49,1028,1129,-11
3,10,1,10,1140,144,1553,2029,-16
3,10,1,10,345,57,608,722,-3
3,10,1,10,237,37,2105,2154,-11
3,10,1,10,479,70,1202,1327,-3
3,10,1,10,335,52,745,949,-1
3,10,1,10,397,63,1359,1515,-5
3,11,2,10,1034,167,1649,1951,11
3,11,2,10,765,111,1303,1608,-12
3,11,2,10,869,112,703,1012,-3
3,11,2,10,997,138,1041,1217,-3
3,11,2,10,869,126,2014,2136,1
3,12,3,10,197,33,1309,1403,3
3,12,3,10,1069,127,1618,2051,16
3,12,3,10,2039,281,1020,1220,-5
3,12,3,10,197,44,1435,1525,-5
3,12,3,10,233,38,2113,2203,223
3,12,3,10,880,109,637,947,-3
3,13,4,10,677,102,816,914,4
3,13,4,10,580,90,657,738,-7
3,13,4,10,237,41,1937,2030,25
3,13,4,10,373,70,941,1102,12
3,13,4,10,935,114,1333,1742,-3
3,13,4,10,647,82,1132,1308,8
3,13,4,10,237,46,1814,1911,1
3,13,4,10,237,44,2050,2147,27
3,14,5,10,580,69,1936,2204,9
3,14,5,10,758,124,1136,1153,13
3,14,5,10,189,40,842,935,10
3,14,5,10,324,57,1001,1114,9
3,14,5,10,189,34,730,817,-3
3,14,5,10,866,139,1228,1527,32
3,14,5,10,1180,134,1552,1919,14
3,15,6,10,461,66,705,828,3
3,15,6,10,2237,230,1616,2321,-4
3,15,6,10,405,59,901,1011,6
3,15,6,10,1855,268,1047,1326,1
3,15,6,10,414,69,1357,1539,19
3,16,7,10,1073,168,727,1028,8
3,16,7,10,220,44,1652,1748,28
3,16,7,10,680,101,1246,1454,39
3,16,7,10,972,143,1813,2055,25
3,16,7,10,1011,135,2123,2352,17
3,16,7,10,178,41,1101,1204,24
3,16,7,10,255,47,1525,1622,37
3,17,1,10,612,78,933,1211,-9
3,17,1,10,468,94,639,724,4
3,17,1,10,178,35,1418,1510,5
3,17,1,10,655,95,1532,1720,-10
3,17,1,10,395,65,748,909,-1
3,17,1,10,1728,245,1945,2207,7
3,17,1,10,704,137,1751,1924,19
3,17,1,10,197,38,1244,1343,3
3,18,2,10,345,63,816,935,5
3,18,2,10,361,55,1120,1227,-8
3,18,2,10,325,54,1303,1410,-5
3,18,2,10,507,78,1513,1742,22
3,18,2,10,180,45,958,1053,3
3,18,2,10,258,58,634,755,5
3,18,2,10,697,101,1937,2136,16
3,18,2,10,689,108,1808,1908,13
3,19,3,10,189,40,1331,1421,-4
3,19,3,10,663,107,2047,2254,49
3,19,3,10,296,42,1515,1609,19
3,19,3,10,1090,131,818,1247,-13
3,19,3,10,912,108,1639,1956,26
3,19,3,10,386,57,630,742,-8
3,20,4,10,1448,213,704,851,1
3,20,4,10,895,98,2134,24,44
3,20,4,10,484,74,604,633,-2
3,20,4,10,368,53,1056,1307,-8
3,20,4,10,256,46,917,1025,5
3,20,4,10,391,56,1953,2107,57
3,21,5,10,1111,164,1930,2125,40
3,21,5,10,842,122,1426,1640,30
3,21,5,10,925,125,1051,1310,-10
3,21,5,10,1166,148,628,1020,5
3,21,5,10,543,76,2157,2324,39
3,21,5,10,1497,218,1711,1900,25
3,22,6,10,325,54,1851,1956,-4
3,22,6,10,223,44,1732,1831,1
3,22,6,10,987,112,1146,1556,16
3,22,6,10,365,54,800,906,-4
3,22,6,10,325,50,2024,2124,-6
3,22,6,10,407,62,610,731,-4
3,22,6,10,987,150,1621,1705,15
3,22,6,10,365,67,932,1105,15
3,23,7,10,223,45,710,804,-11
3,23,7,10,407,66,1800,1923,-2
3,23,7,10,256,45,1444,1543,-7
3,23,7,10,368,64,834,1050,-10
3,23,7,10,957,120,1951,2304,-11
3,23,7,10,407,68,1255,1415,0
3,23,7,10,256,45,1614,1729,14
3,23,7,10,588,102,1126,1227,2
3,24,1,10,344,57,1847,1853,18
3,24,1,10,307,50,1320,1320,-10
3,24,1,10,533,73,609,834,-6
3,24,1,10,237,41,901,953,-7
3,24,1,10,1258,203,1432,1700,30
3,24,1,10,479,69,1920,2046,21
3,24,1,10,291,47,1723,1823,23
3,24,1,10,389,55,2103,2208,-2
3,24,1,10,487,71,1026,1249,-1
3,25,2,10,389,64,626,747,12
3,25,2,10,2277,251,1152,1916,11
3,25,2,10,1137,166,1938,2245,5
3,25,2,10,304,45,1012,1117,12
3,25,2,10,480,68,827,946,21
3,26,3,10,714,107,1252,1408,33
3,26,3,10,2027,230,1656,5,0
3,26,3,10,236,45,1528,1625,15
3,26,3,10,1036,142,815,1052,-18
3,26,3,10,496,80,1131,1204,-1
3,26,3,10,997,142,607,743,-2
3,27,4,10,1987,302,918,1132,7
3,27,4,10,369,60,1859,2015,0
3,27,4,10,358,58,1540,1655,0
3,27,4,10,281,50,749,850,-5
3,27,4,10,407,68,1159,1338,-2
3,27,4,10,325,50,1416,1518,-2
3,27,4,10,361,58,2209,2323,13
3,27,4,10,325,50,2046,2154,19
3,27,4,10,255,43,615,709,-6
3,27,4,10,358,54,1726,1830,-5
3,28,5,10,226,41,1942,2045,-5
3,28,5,10,1750,201,816,1346,-14
3,28,5,10,402,54,1431,1643,-12
3,28,5,10,337,52,632,747,2
3,28,5,10,1910,282,1718,1914,4
3,28,5,10,342,63,2114,2226,-4
3,29,6,10,223,40,903,1000,0
3,29,6,10,802,107,1906,2109,-6
3,29,6,10,1521,176,1028,1537,-23
3,29,6,10,178,39,2140,2229,-6
3,29,6,10,284,48,1631,1829,-11
3,29,6,10,296,47,741,839,-1
3,30,7,10,1618,242,1049,1305,10
3,30,7,10,223,43,2024,2123,-2
3,30,7,10,318,51,825,941,1
3,30,7,10,365,60,1006,1017,-3
3,30,7,10,487,60,2154,12,2
3,30,7,10,397,66,1339,1513,3
3,30,7,10,389,65,1715,1830,0
3,30,7,10,358,53,1852,1955,-10
3,30,7,10,389,56,1537,1646,-4
3,31,1,10,223,42,631,724,-1
3,31,1,10,1797,281,1840,2138,23
3,31,1,10,588,89,1723,1803,-12
3,31,1,10,496,60,751,1004,-6
3,31,1,10,373,58,2205,2314,19
3,31,1,10,787,117,1433,1652,7
3,31,1,10,1040,131,1031,1357,-8
3,1,6,10,229,43,1401,1405,5
3,1,6,10,226,44,1702,1758,-2
3,1,6,10,229,43,1129,1324,-6
3,1,6,10,1521,213,1433,1622,-8
3,1,6,10,825,119,848,1058,-2
3,1,6,10,371,68,1827,1945,0
3,1,6,10,487,77,740,809,-16
3,2,7,10,1912,259,1649,1924,-26
3,2,7,10,1521,181,800,1314,-11
3,2,7,10,256,39,2107,2259,19
3,2,7,10,468,63,1352,1606,-9
3,2,7,10,407,59,611,727,-8
3,2,7,10,256,58,2021,2043,23
4,3,4,10,543,85,1546,1726,1
4,3,4,10,1999,209,645,1330,-25
4,3,4,10,842,119,1909,2130,0
4,4,5,10,283,58,738,855,10
4,4,5,10,1864,273,928,1217,12
4,4,5,10,1166,163,2034,29,19
4,4,5,10,1751,209,1404,1949,-6
4,4,5,10,630,92,1247,1332,7
4,5,6,10,197,38,742,835,-10
4,5,6,10,1521,190,1156,1731,11
4,5,6,10,1751,242,1801,2015,5
4,5,6,10,1984,277,928,1125,15
4,6,7,10,1497,187,1329,1854,-1
4,6,7,10,344,59,857,908,-2
4,6,7,10,1111,130,933,1255,-15
4,6,7,10,344,45,633,830,-10
4,6,7,10,1137,134,1953,2220,5
4,7,1,10,336,63,1032,1225,65
4,7,1,10,328,46,2035,2237,42
4,7,1,10,621,107,1508,1709,64
4,7,1,10,238,61,840,1013,53
4,7,1,10,1891,276,1251,1443,63
4,7,1,10,342,61,1726,1841,56
4,7,1,10,338,52,1903,2010,40
4,8,2,10,328,60,754,813,8
4,8,2,10,588,74,2152,19,-11
4,8,2,10,1797,193,1542,2108,-27
4,8,2,10,337,55,1402,1507,-8
4,8,2,10,543,73,1151,1317,-18
4,8,2,10,1009,143,836,1109,-21
4,9,3,10,283,59,852,1000,0
4,9,3,10,283,46,718,822,-8
4,9,3,10,919,127,1031,1259,-6
4,9,3,10,737,123,1947,2105,10
4,9,3,10,220,58,1801,1915,0
4,9,3,10,972,134,1458,1721,-9
4,9,3,10,133,32,1335,1418,-7
4,9,3,10,546,97,2131,2321,26
4,10,4,10,1448,205,1504,1646,-14
4,10,4,10,461,80,601,738,13
4,10,4,10,405,61,802,913,8
4,10,4,10,616,96,1343,1436,-4
4,10,4,10,989,125,954,1316,6
4,10,4,10,333,55,2207,2318,33
4,10,4,10,338,52,1736,1838,-7
4,10,4,10,333,48,2053,2154,39
4,10,4,10,342,60,1914,2026,-4
4,11,5,10,395,60,1737,1850,-10
4,11,5,10,1501,164,947,1450,-20
4,11,5,10,236,42,813,909,-6
4,11,5,10,1838,240,1931,2146,-24
4,11,5,10,471,64,1538,1658,-7
4,11,5,10,308,50,632,744,4
4,12,6,10,451,64,840,954,-1
4,12,6,10,646,90,1356,1538,-17
4,12,6,10,1671,208,1616,2259,4
4,12,6,10,446,66,1158,1316,-9
4,12,6,10,308,51,700,807,-3
4,12,6,10,367,57,1016,1123,-12
4,13,7,10,148,28,1356,1435,-10
4,13,7,10,284,51,750,751,-4
4,13,7,10,189,34,1243,1328,-7
4,13,7,10,1235,180,1514,1628,-7
4,13,7,10,1099,143,2018,53,-2
4,13,7,10,258,49,1709,1810,-10
4,13,7,10,296,53,1110,1213,-7
4,13,7,10,251,44,819,914,-11
4,13,7,10,258,52,1842,1947,-8
4,13,7,10,296,48,947,1043,-12
4,14,1,10,629,89,2037,2122,-13
4,14,1,10,397,71,2154,2320,0
4,14,1,10,533,84,1927,2004,-11
4,14,1,10,997,131,805,1129,-1
4,14,1,10,423,72,619,742,2
4,14,1,10,174,35,1319,1411,-9
4,14,1,10,254,46,1724,1725,-5
4,14,1,10,237,38,1759,1849,-11
4,14,1,10,174,34,1159,1248,-2
4,14,1,10,727,101,1450,1643,-12
4,15,2,10,762,122,1733,1954,-6
4,15,2,10,446,70,1043,1206,-4
4,15,2,10,1009,129,2022,2246,-9
4,15,2,10,258,50,1556,1659,-6
4,15,2,10,367,57,1236,1349,-1
4,15,2,10,671,93,815,1002,-18
4,15,2,10,605,93,604,758,8
4,15,2,10,367,59,1414,1527,-3
4,16,3,10,2027,235,1136,1851,-14
4,16,3,10,338,56,624,732,-8
4,16,3,10,587,84,1935,2112,-3
4,16,3,10,386,65,944,1105,0
4,16,3,10,342,61,759,915,0
4,16,3,10,197,36,2134,2221,-14
4,17,4,10,324,55,2229,2337,132
4,17,4,10,358,48,1739,1941,-24
4,17,4,10,1166,159,559,755,-20
4,17,4,10,629,87,1419,1705,-10
4,17,4,10,1751,227,839,1037,-28
4,17,4,10,762,110,1132,1334,-11
4,18,5,10,248,48,700,759,-1
4,18,5,10,546,77,1227,1357,17
4,18,5,10,233,44,933,1024,-1
4,18,5,10,1430,190,1802,2052,-8
4,18,5,10,248,45,1050,1155,10
4,18,5,10,233,42,815,909,-1
4,18,5,10,813,114,1423,1730,5
